Date Opération,Code Agence,encaissements,decaissements,Besoin
2022-09-01,00001,1150509751.0,1552687533.0,-402177782.0
2022-09-02,00001,1022040820.0,1337001643.0,-314960823.0
2022-09-05,00001,2429034593.0,2277566790.0,151467803.0
2022-09-06,00001,1371603318.0,1855913185.0,-484309867.0
2022-09-07,00001,1164323489.0,1642198518.0,-477875029.0
2022-09-08,00001,953549325.0,1858530290.0,-904980965.0
2022-09-09,00001,1254504186.0,1756718761.0,-502214575.0
2022-09-12,00001,1923782537.0,1954777124.0,-30994587.0
2022-09-13,00001,1287905259.0,2367765650.0,-1079860391.0
2022-09-14,00001,1224705964.0,2226916725.0,-1002210761.0
2022-09-15,00001,1153418139.0,1521764600.0,-368346461.0
2022-09-16,00001,1216418206.0,1769923756.0,-553505550.0
2022-09-19,00001,1687111321.0,2614439221.0,-927327900.0
2022-09-20,00001,1036252110.0,1203266998.0,-167014888.0
2022-09-21,00001,1634853865.0,2164045546.0,-529191681.0
2022-09-22,00001,673604791.0,2163430390.0,-1489825599.0
2022-09-23,00001,1215864853.0,2039091026.0,-823226173.0
2022-09-26,00001,1490957504.0,1996545891.0,-505588387.0
2022-09-27,00001,1010158801.0,2488159034.0,-1478000233.0
2022-09-28,00001,1024546600.0,1877844586.0,-853297986.0
2022-09-29,00001,993121725.0,1303570394.0,-310448669.0
2022-09-30,00001,1239160289.0,2101015613.0,-861855324.0
2022-10-03,00001,1608326521.0,2621914570.0,-1013588049.0
2022-10-04,00001,1123071783.0,1431660919.0,-308589136.0
2022-10-05,00001,901132338.0,2233182174.0,-1332049836.0
2022-10-06,00001,966150201.0,1477251282.0,-511101081.0
2022-10-07,00001,1635806576.0,1638807811.0,-3001235.0
2022-10-10,00001,2264109860.0,1876557401.0,387552459.0
2022-10-11,00001,1448060000.0,1791512320.0,-343452320.0
2022-10-12,00001,1030792435.0,2170878118.0,-1140085683.0
2022-10-13,00001,1711429686.0,1573335015.0,138094671.0
2022-10-14,00001,1596537571.0,2539284037.0,-942746466.0
2022-10-17,00001,1838308123.0,2307415005.0,-469106882.0
2022-10-18,00001,1644142390.0,2308874376.0,-664731986.0
2022-10-19,00001,1453981183.0,2417454110.0,-963472927.0
2022-10-20,00001,1073530803.0,1300380575.0,-226849772.0
2022-10-21,00001,941850710.0,1543951840.0,-602101130.0
2022-10-24,00001,1322280982.0,1902814731.0,-580533749.0
2022-10-25,00001,1173028695.0,1551350649.0,-378321954.0
2022-10-26,00001,1416446081.0,2717116540.0,-1300670459.0
2022-10-27,00001,1227612515.0,1010968125.0,216644390.0
2022-10-28,00001,1767766897.0,3014891300.0,-1247124403.0
2022-10-31,00001,1532504087.0,1787305743.0,-254801656.0
2022-11-01,00001,1582115571.0,2880871670.0,-1298756099.0
2022-11-02,00001,1432440540.0,1424356450.0,8084090.0
2022-11-03,00001,1268989101.0,1969282489.0,-700293388.0
2022-11-04,00001,1856247316.0,2143998920.0,-287751604.0
2022-11-07,00001,1563040554.0,2161130056.0,-598089502.0
2022-11-08,00001,1204862776.0,1786661526.0,-581798750.0
2022-11-09,00001,1239707565.0,1425203200.0,-185495635.0
2022-11-10,00001,1220912479.0,1287665316.0,-66752837.0
2022-11-11,00001,1077172017.0,2044919540.0,-967747523.0
2022-11-14,00001,1675599372.0,2144075990.0,-468476618.0
2022-11-15,00001,681701151.0,1639712643.0,-958011492.0
2022-11-16,00001,1361132588.0,1665668144.0,-304535556.0
2022-11-17,00001,920432825.0,1267124465.0,-346691640.0
2022-11-18,00001,789623513.0,2126493820.0,-1336870307.0
2022-11-21,00001,1975211375.0,1941591610.0,33619765.0
2022-11-22,00001,1294902578.0,1314305555.0,-19402977.0
2022-11-23,00001,1158435728.0,1485771236.0,-327335508.0
2022-11-24,00001,1079340384.0,1703679126.0,-624338742.0
2022-11-25,00001,1460786260.0,2563157839.0,-1102371579.0
2022-11-28,00001,1922643626.0,2302624800.0,-379981174.0
2022-11-29,00001,1555751050.0,2394050772.0,-838299722.0
2022-11-30,00001,942804200.0,1711246923.0,-768442723.0
2022-12-01,00001,963480170.0,2950751753.0,-1987271583.0
2022-12-02,00001,1465008786.0,1957206560.0,-492197774.0
2022-12-05,00001,2028302143.0,2883762839.0,-855460696.0
2022-12-06,00001,781034495.0,2108114625.0,-1327080130.0
2022-12-07,00001,1383668788.0,1842929706.0,-459260918.0
2022-12-08,00001,1338508931.0,2123649018.0,-785140087.0
2022-12-09,00001,1547019077.0,2142431039.0,-595411962.0
2022-12-12,00001,2500174016.0,3270973177.0,-770799161.0
2022-12-13,00001,1849653632.0,2474722856.0,-625069224.0
2022-12-14,00001,1487716403.0,2611788697.0,-1124072294.0
2022-12-15,00001,2333192855.0,2566494937.0,-233302082.0
2022-12-16,00001,1072809932.0,2041681179.0,-968871247.0
2022-12-19,00001,2766852125.0,3494703466.0,-727851341.0
2022-12-20,00001,2015426845.0,2993300578.0,-977873733.0
2022-12-21,00001,2090004698.0,3006073336.0,-916068638.0
2022-12-22,00001,2012733207.0,3390955552.0,-1378222345.0
2022-12-23,00001,2312984108.0,2679439365.0,-366455257.0
2022-12-27,00001,4467045330.0,4898297320.0,-431251990.0
2022-12-28,00001,1288411200.0,2209817830.0,-921406630.0
2022-12-29,00001,1214080974.0,2849501217.0,-1635420243.0
2022-12-30,00001,1193780315.0,1405442942.0,-211662627.0
2023-01-03,00001,5500924159.0,6335802215.0,-834878056.0
2023-01-04,00001,4054494822.0,4559219019.0,-504724197.0
2023-01-05,00001,1308876195.0,2483454250.0,-1174578055.0
2023-01-06,00001,761917189.0,1609401000.0,-847483811.0
2023-01-09,00001,1685672137.0,2340317753.0,-654645616.0
2023-01-10,00001,1226432285.0,1215073788.0,11358497.0
2023-01-11,00001,682193755.0,1894722034.0,-1212528279.0
2023-01-12,00001,869804019.0,2052353968.0,-1182549949.0
2023-01-13,00001,786883821.0,2078905328.0,-1292021507.0
2023-01-16,00001,1623665747.0,1851361851.0,-227696104.0
2023-01-17,00001,1062636622.0,1708731579.0,-646094957.0
2023-01-18,00001,1094765291.0,2261011935.0,-1166246644.0
2023-01-19,00001,533602450.0,1085286279.0,-551683829.0
2023-01-20,00001,723119460.0,1738902098.0,-1015782638.0
2023-01-23,00001,2454666222.0,2675941242.0,-221275020.0
2023-01-24,00001,769339435.0,2156018374.0,-1386678939.0
2023-01-25,00001,780563126.0,1792039700.0,-1011476574.0
2023-01-26,00001,1074522875.0,1914087893.0,-839565018.0
2023-01-27,00001,1249521160.0,1299405650.0,-49884490.0
2023-01-30,00001,2460763112.0,2167864480.0,292898632.0
2023-01-31,00001,1063759405.0,1798544531.0,-734785126.0
2023-02-01,00001,1077157245.0,2043052846.0,-965895601.0
2023-02-02,00001,1317202887.0,1557618449.0,-240415562.0
2023-02-03,00001,878095863.0,1625885030.0,-747789167.0
2023-02-06,00001,1752394430.0,2366327893.0,-613933463.0
2023-02-07,00001,982000480.0,1782111898.0,-800111418.0
2023-02-08,00001,877604506.0,1753538300.0,-875933794.0
2023-02-09,00001,1835754622.0,2683186049.0,-847431427.0
2023-02-10,00001,963441657.0,1725551000.0,-762109343.0
2023-02-13,00001,1075054557.0,1923075120.0,-848020563.0
2023-02-14,00001,999326921.0,1646205768.0,-646878847.0
2023-02-15,00001,1175173079.0,1462247581.0,-287074502.0
2023-02-16,00001,957750839.0,1299119364.0,-341368525.0
2023-02-17,00001,817028995.0,1486637437.0,-669608442.0
2023-02-20,00001,1287101250.0,2153270998.0,-866169748.0
2023-02-21,00001,602098571.0,1653603561.0,-1051504990.0
